Industry Sector,Age Group,Gender,2011,2012,2013,2014,2015,2016,2017,2018,2019
Education,15-19,Male,62,66,48,56,49,55,61,63,89
Education,20-24,Female,19,15,16,30,20,27,22,24,40
Education,20-24,Male,18,15,7,14,11,13,15,18,22
Education,25-29,Female,23,32,18,19,16,25,19,30,32
Education,25-29,Male,6,7,12,7,9,15,13,8,18
Education,30-34,Female,15,24,19,25,18,33,30,21,36
Education,30-34,Male,16,18,15,18,5,13,19,13,20
Education,35-39,Female,22,19,27,23,20,31,26,27,35
Education,35-39,Male,23,16,15,24,14,17,12,29,15
Education,40-44,Female,34,36,41,40,30,33,34,30,51
Education,40-44,Male,21,24,15,29,13,19,23,14,16
Education,45-49,Female,48,44,45,38,46,46,37,50,41
Education,45-49,Male,28,25,28,27,14,16,20,20,22
Education,50-54,Female,67,54,50,76,64,58,63,75,57
Education,50-54,Male,36,36,30,35,27,24,31,22,34
Education,55-59,Female,53,44,53,60,45,42,52,64,63
Education,55-59,Male,33,19,26,37,23,30,31,45,32
Education,60-64,Female,24,34,31,36,32,29,35,34,53
Education,60-64,Male,13,17,9,19,20,18,18,17,21
Education,65+,Female,5,9,14,5,9,9,16,21,20
Education,65+,Male,4,2,10,7,4,3,11,7,4
Electrical,15-19,Female,1,0,0,0,0,2,2,0,1
Electrical,15-19,Male,5,4,4,3,1,2,5,2,6
Electrical,20-24,Female,6,2,2,1,4,4,1,6,3
Electrical,20-24,Male,24,22,35,22,23,25,32,33,21
Electrical,25-29,Female,7,7,6,4,7,9,3,6,8
Electrical,25-29,Male,38,47,36,32,40,45,37,51,67
Electrical,30-34,Female,9,7,12,4,6,9,3,4,7
Electrical,30-34,Male,33,36,33,44,56,43,54,54,55
Electrical,35-39,Female,3,5,6,6,2,5,4,5,4
Electrical,35-39,Male,37,30,32,33,28,32,43,47,33
Electrical,40-44,Female,4,4,1,5,6,5,4,5,7
Electrical,40-44,Male,48,36,38,40,30,37,35,34,36
Electrical,45-49,Female,10,7,4,5,6,6,8,5,7
Electrical,45-49,Male,55,40,26,39,35,41,31,32,31
Electrical,50-54,Female,12,6,4,6,7,6,3,8,10
Electrical,50-54,Male,43,32,40,34,27,38,42,24,35
Electrical,55-59,Female,4,3,2,2,2,9,4,4,7
Electrical,55-59,Male,23,20,25,23,32,29,36,32,35
Electrical,60-64,Female,0,1,4,2,3,2,5,3,7
Electrical,60-64,Male,15,10,14,5,7,16,13,14,11
Electrical,65+,Female,0,0,3,1,1,1,0,2,1
Electrical,65+,Male,4,1,3,4,8,3,3,7,6
Food,15-19,Female,4,7,4,7,9,7,9,12,15
Food,15-19,Male,17,21,13,16,28,18,14,19,24
Food,20-24,Female,14,22,23,20,20,20,33,39,29
Food,20-24,Male,64,91,58,64,56,75,59,63,70
Food,25-29,Female,29,26,31,18,16,31,24,31,31
Food,25-29,Male,77,76,85,71,65,83,79,80,88
Food,30-34,Female,32,29,28,18,24,27,24,37,34
Food,30-34,Male,96,78,75,65,59,85,71,86,81
Food,35-39,Female,44,35,34,31,30,31,31,34,44
Food,35-39,Male,99,116,76,77,87,80,82,89,83
Food,40-44,Female,52,44,46,28,46,40,43,53,45
Food,40-44,Male,102,111,79,78,85,81,86,83,79
Food,45-49,Female,75,59,54,55,40,45,61,65,55
Food,45-49,Male,107,114,93,84,88,91,90,96,79
Food,50-54,Female,61,63,55,54,51,62,68,59,71
Food,50-54,Male,117,107,114,97,87,88,85,107,98
Food,55-59,Female,59,42,51,41,49,38,61,63,61
Food,55-59,Male,77,65,76,81,86,88,94,102,107
Food,60-64,Female,14,22,37,20,23,30,25,35,36
Food,60-64,Male,35,49,52,46,48,72,61,70,70
Food,65+,Female,7,7,4,5,5,9,4,8,8
Food,65+,Male,6,10,18,25,21,19,18,27,25
Forestry,15-19,Female,0,1,0,0,3,2,0,0,1
Forestry,15-19,Male,5,6,9,3,10,11,11,5,8
Forestry,20-24,Female,3,1,4,1,3,2,4,1,4
Forestry,20-24,Male,14,9,18,17,24,21,23,12,16
Forestry,25-29,Female,2,2,0,0,1,3,2,4,1
Forestry,25-29,Male,13,14,14,13,14,23,13,19,15
Forestry,30-34,Female,1,0,1,0,2,2,2,2,0
Forestry,30-34,Male,9,11,17,6,8,12,9,16,10
Forestry,35-39,Female,1,0,4,0,1,1,3,3,2
Forestry,35-39,Male,15,5,13,10,10,10,18,14,10
Forestry,40-44,Female,0,0,1,0,1,5,5,3,1
Forestry,40-44,Male,16,17,14,16,8,17,18,16,8
Forestry,45-49,Female,0,2,0,1,0,0,2,1,1
Forestry,45-49,Male,28,21,10,11,17,17,11,11,12
Forestry,50-54,Female,1,1,1,0,0,2,3,5,2
Forestry,50-54,Male,17,16,12,17,30,18,20,14,16
Forestry,55-59,Female,2,0,2,1,1,0,1,0,2
Forestry,55-59,Male,9,12,13,24,17,20,18,21,24
Forestry,60-64,Female,2,0,0,0,1,0,1,0,1
Forestry,60-64,Male,19,10,14,9,12,10,19,15,15
Forestry,65+,Female,0,1,0,0,1,1,0,0,0
Forestry,65+,Male,1,3,0,5,1,3,2,2,4
Health Care,15-19,Female,16,22,19,29,33,31,24,32,40
Health Care,15-19,Male,7,11,13,10,15,7,10,4,10
Health Care,20-24,Female,290,343,288,315,324,356,376,452,502
Health Care,20-24,Male,47,42,31,37,42,46,44,60,53
Health Care,25-29,Female,625,663,601,566,586,635,619,735,827
Health Care,25-29,Male,90,82,72,77,74,74,99,100,134
Health Care,30-34,Female,578,587,609,612,606,655,664,721,760
Health Care,30-34,Male,102,109,98,76,86,95,88,129,152
Health Care,35-39,Female,670,733,659,614,629,675,668,767,809
Health Care,35-39,Male,99,94,93,92,89,93,73,91,116
Health Care,40-44,Female,802,817,700,689,709,700,740,811,904
Health Care,40-44,Male,117,111,95,98,107,93,94,102,95
Health Care,45-49,Female,949,993,835,818,767,824,791,863,903
Health Care,45-49,Male,110,138,114,112,110,99,127,131,128
Health Care,50-54,Female,873,968,935,907,822,963,892,950,961
Health Care,50-54,Male,108,117,110,120,110,111,122,102,151
Health Care,55-59,Female,701,726,687,680,601,686,758,877,913
Health Care,55-59,Male,81,90,82,89,84,93,109,110,110
Health Care,60-64,Female,359,392,369,373,386,419,421,520,521
Health Care,60-64,Male,44,50,42,37,42,52,60,61,76
Health Care,65+,Female,71,111,111,113,118,168,164,166,228
Health Care,65+,Male,20,9,19,16,17,25,28,34,26
Manufacturing,15-19,Female,20,14,15,20,15,20,31,33,33
Manufacturing,15-19,Male,95,95,94,117,125,127,129,144,130
Manufacturing,20-24,Female,93,79,86,69,72,102,119,124,159
Manufacturing,20-24,Male,433,460,449,399,437,483,514,573,600
Manufacturing,25-29,Female,96,89,78,91,103,124,119,144,165
Manufacturing,25-29,Male,507,526,491,497,458,515,578,630,655
Manufacturing,30-34,Female,104,106,114,104,86,100,96,139,130
Manufacturing,30-34,Male,545,503,486,485,453,493,515,544,571
Manufacturing,35-39,Female,135,152,121,97,94,120,106,115,126
Manufacturing,35-39,Male,596,544,524,511,426,509,518,568,522
Manufacturing,40-44,Female,190,164,127,157,97,132,141,148,164
Manufacturing,40-44,Male,599,599,544,543,462,456,473,540,571
Manufacturing,45-49,Female,269,212,226,145,163,170,175,205,193
Manufacturing,45-49,Male,781,686,623,616,519,616,507,546,558
Manufacturing,50-54,Female,258,220,225,206,191,235,218,258,240
Manufacturing,50-54,Male,755,718,694,616,619,618,602,660,621
Manufacturing,55-59,Female,172,160,165,194,182,197,189,229,257
Manufacturing,55-59,Male,513,525,535,554,527,591,632,677,633
Manufacturing,60-64,Female,90,95,106,90,99,143,123,117,126
Manufacturing,60-64,Male,306,352,328,340,340,386,381,497,497
Manufacturing,65+,Female,30,21,31,24,23,43,35,54,47
Manufacturing,65+,Male,132,115,142,141,153,201,187,190,204
Mining,15-19,Female,1,0,0,0,1,1,0,0,0
Mining,15-19,Male,10,5,1,2,1,2,4,2,3
Mining,20-24,Female,3,3,0,1,2,0,1,0,1
Mining,20-24,Male,23,25,12,12,15,11,8,13,12
Mining,25-29,Female,1,1,1,0,1,0,0,1,1
Mining,25-29,Male,40,23,22,13,13,13,21,19,22
Mining,30-34,Female,0,0,2,0,1,1,0,4,1
Mining,30-34,Male,43,35,21,24,16,30,25,20,15
Mining,35-39,Female,1,2,3,1,1,0,2,1,1
Mining,35-39,Male,40,32,25,13,24,21,28,22,31
Mining,40-44,Female,0,0,0,1,0,1,1,0,1
Mining,40-44,Male,48,32,33,28,19,15,20,25,24
Mining,45-49,Female,2,1,2,1,0,0,1,4,1
Mining,45-49,Male,45,30,35,27,20,17,25,20,18
Mining,50-54,Female,0,1,1,1,2,2,2,4,3
Mining,50-54,Male,35,28,33,24,28,23,26,12,26
Mining,55-59,Female,0,1,2,0,1,0,1,1,1
Mining,55-59,Male,20,28,26,17,18,20,21,18,29
Mining,60-64,Female,0,0,0,0,0,0,1,1,1
Mining,60-64,Male,8,10,11,15,9,10,9,10,14
Mining,65+,Male,5,4,1,4,9,2,3,4,9
Municipal,15-19,Female,12,12,19,13,10,14,19,23,25
Municipal,15-19,Male,11,15,10,8,10,13,19,20,20
Municipal,20-24,Female,18,16,13,11,20,23,29,32,29
Municipal,20-24,Male,16,25,25,27,19,17,23,31,33
Municipal,25-29,Female,13,13,11,14,15,9,21,21,28
Municipal,25-29,Male,30,31,30,19,22,30,31,40,44
Municipal,30-34,Female,11,10,14,6,21,14,18,17,21
Municipal,30-34,Male,45,34,45,50,41,36,47,44,49
Municipal,35-39,Female,17,22,11,22,12,21,17,21,20
Municipal,35-39,Male,41,53,44,45,53,48,55,59,59
Municipal,40-44,Female,19,27,19,11,24,16,17,19,24
Municipal,40-44,Male,76,68,64,64,48,68,72,81,64
Municipal,45-49,Female,23,31,22,27,25,21,30,38,24
Municipal,45-49,Male,59,62,60,59,63,57,67,60,54
Municipal,50-54,Female,34,24,24,27,27,28,34,39,36
Municipal,50-54,Male,75,50,53,68,61,70,83,60,70
Municipal,55-59,Female,18,14,20,19,20,18,27,23,33
Municipal,55-59,Male,50,44,60,50,41,50,43,59,58
Municipal,60-64,Female,7,5,7,10,10,12,17,13,18
Municipal,60-64,Male,21,22,29,33,21,18,31,33,28
Municipal,65+,Female,4,1,8,4,5,5,3,11,12
Municipal,65+,Male,10,8,10,7,9,11,14,10,24
Primary Metals,15-19,Female,0,0,1,0,0,0,0,0,0
Primary Metals,15-19,Male,6,3,1,1,9,3,0,3,1
Primary Metals,20-24,Female,0,1,0,1,0,0,2,1,3
Primary Metals,20-24,Male,13,11,13,14,8,5,12,20,17
Primary Metals,25-29,Female,0,1,3,0,2,2,0,4,5
