,FV_D,FV_M,FV_DATE,VISIT_CODE,WP_ID,NAICS,RegCode,INDCode,HICCode,HICPerCode,E1524Code,E2554Code,E55pCode,ConCode,Claims_Code
13752,11,2,2019-02-11,2019-02-11 194894,194894,332710,2,5,7,2,1,1,2,4,5
21633,17,4,2019-04-17,2019-04-17 1712929,1712929,441310,4,12,7,1,2,1,1,3,5
25309,27,2,2019-02-27,2019-02-27 1242379,1242379,212314,5,2,1,3,1,2,1,3,1
14084,5,6,2019-06-05,2019-06-05 1911249,1911249,236110,2,4,6,4,2,2,2,3,4
25208,30,10,2019-10-30,2019-10-30 2104044,2104044,237110,5,4,2,4,2,2,2,1,1
15680,26,1,2019-01-26,2019-01-26 2057264,2057264,812115,3,10,1,2,1,1,2,3,1
16917,25,3,2019-03-25,2019-03-25 2071051,2071051,442210,3,12,7,1,2,1,1,1,5
19534,27,8,2019-08-27,2019-08-27 1170254,1170254,441110,4,12,7,1,2,1,1,1,5
7453,10,1,2019-01-10,2019-01-10 2046923,2046923,236220,2,4,6,4,2,2,2,3,4
21070,1,8,2019-08-01,2019-08-01 2087357,2087357,236110,4,4,5,5,2,2,2,1,3
