,FV_D,FV_M,FV_DATE,VISIT_CODE,WP_ID,NAICS,RegCode,INDCode,HICCode,HICPerCode,E1524Code,E2554Code,E55pCode,ConCode,Claims_Code
12151,17,4,2019-04-17,2019-04-17 2076854,2076854,238160,2,4,6,4,2,2,2,3,4
9816,23,10,2019-10-23,2019-10-23 152110,152110,441110,2,12,7,1,2,1,1,4,5
17160,15,11,2019-11-15,2019-11-15 1048006,1048006,623110,3,8,6,1,1,2,1,1,4
22738,13,6,2019-06-13,2019-06-13 2066037,2066037,236110,4,4,5,5,2,2,2,2,3
12273,4,9,2019-09-04,2019-09-04 2112766,2112766,812115,2,10,2,2,1,1,2,2,1
7156,5,12,2019-12-05,2019-12-05 2132469,2132469,236110,2,4,6,4,2,2,2,2,4
3406,26,11,2019-11-26,2019-11-26 2098495,2098495,236110,1,4,4,5,2,2,2,4,2
11723,19,11,2019-11-19,2019-11-19 2131287,2131287,236110,2,4,6,4,2,2,2,4,4
11505,19,2,2019-02-19,2019-02-19 2062973,2062973,236220,2,4,6,4,2,2,2,2,4
15537,31,7,2019-07-31,2019-07-31 1393180,1393180,446110,3,12,7,1,2,1,1,3,5
12061,30,11,2019-11-30,2019-11-30 2133180,2133180,811111,2,10,2,2,1,1,2,1,1
244,26,8,2019-08-26,2019-08-26 276289,276289,721211,1,9,1,3,2,1,1,3,1
5163,19,9,2019-09-19,2019-09-19 2115664,2115664,721213,2,9,2,3,2,1,1,4,1
882,18,1,2019-01-18,2019-01-18 963,963,113311,1,1,1,5,1,1,2,1,1
26541,26,4,2019-04-26,2019-04-26 2077923,2077923,236110,5,4,2,4,2,2,2,2,1
21933,4,12,2019-12-04,2019-12-04 2105674,2105674,236210,4,4,5,5,2,2,2,1,3
9236,14,3,2019-03-14,2019-03-14 2069124,2069124,722512,2,9,2,3,2,1,1,3,1
11008,6,6,2019-06-06,2019-06-06 2014912,2014912,337214,2,5,7,2,1,1,2,3,5
26201,9,7,2019-07-09,2019-07-09 2095629,2095629,238140,5,4,2,4,2,2,2,1,1
8389,3,12,2019-12-03,2019-12-03 2133374,2133374,811210,2,10,2,2,1,1,2,2,1
11976,21,2,2019-02-21,2019-02-21 2047264,2047264,236110,2,4,6,4,2,2,2,1,4
20611,4,11,2019-11-04,2019-11-04 2126119,2126119,336310,4,5,7,2,1,1,2,3,5
21176,14,2,2019-02-14,2019-02-14 2049571,2049571,237130,4,4,5,5,2,2,2,1,3
11488,12,7,2019-07-12,2019-07-12 2096969,2096969,238160,2,4,6,4,2,2,2,2,4
20919,23,4,2019-04-23,2019-04-23 2020037,2020037,236220,4,4,5,5,2,2,2,4,3
11713,1,2,2019-02-01,2019-02-01 1975221,1975221,236110,2,4,6,4,2,2,2,2,4
24368,26,8,2019-08-26,2019-08-26 1609702,1609702,212220,5,2,1,3,1,2,1,1,1
17636,19,3,2019-03-19,2019-03-19 2065238,2065238,236110,4,4,5,5,2,2,2,4,3
5099,25,4,2019-04-25,2019-04-25 1994540,1994540,237310,2,4,6,4,2,2,2,1,4
14963,8,5,2019-05-08,2019-05-08 10240,10240,322220,3,5,4,1,1,1,2,1,3
11374,10,4,2019-04-10,2019-04-10 1644050,1644050,722511,2,9,2,3,2,1,1,1,1
3391,16,8,2019-08-16,2019-08-16 2087149,2087149,236110,1,4,4,5,2,2,2,3,2
1984,31,3,2019-03-31,2019-03-31 2072825,2072825,444190,1,12,6,1,2,1,1,3,5
23456,4,12,2019-12-04,2019-12-04 2125782,2125782,236220,4,4,5,5,2,2,2,3,3
16885,29,10,2019-10-29,2019-10-29 2125302,2125302,236110,3,4,2,3,2,2,2,4,2
3545,5,2,2019-02-05,2019-02-05 1950012,1950012,236220,1,4,4,5,2,2,2,3,2
20089,28,6,2019-06-28,2019-06-28 2082246,2082246,236220,4,4,5,5,2,2,2,3,3
16866,3,9,2019-09-03,2019-09-03 2111520,2111520,238160,3,4,2,3,2,2,2,3,2
17275,12,12,2019-12-12,2019-12-12 433531,433531,311814,3,5,4,1,1,1,2,1,3
26255,6,12,2019-12-06,2019-12-06 91355,91355,212323,5,2,1,3,1,2,1,3,1
9980,29,11,2019-11-29,2019-11-29 316100,316100,339990,2,5,7,2,1,1,2,4,5
24751,25,2,2019-02-25,2019-02-25 2064389,2064389,621990,5,8,3,1,1,2,1,3,2
19570,15,11,2019-11-15,2019-11-15 86378,86378,212323,4,2,1,3,1,2,1,3,1
25032,11,7,2019-07-11,2019-07-11 1952103,1952103,236110,5,4,2,4,2,2,2,3,1
5769,17,6,2019-06-17,2019-06-17 1255202,1255202,713910,2,12,7,1,2,1,1,4,5
19529,15,3,2019-03-15,2019-03-15 2058940,2058940,238990,4,4,5,5,2,2,2,3,3
1869,2,5,2019-05-02,2019-05-02 2030551,2030551,236110,1,4,4,5,2,2,2,4,2
2338,14,3,2019-03-14,2019-03-14 1914152,1914152,236210,1,4,4,5,2,2,2,3,2
2226,14,3,2019-03-14,2019-03-14 1579121,1579121,334410,1,5,3,1,1,1,2,3,3
20933,22,7,2019-07-22,2019-07-22 1786047,1786047,236210,4,4,5,5,2,2,2,4,3
13284,7,11,2019-11-07,2019-11-07 2122805,2122805,237310,2,4,6,4,2,2,2,1,4
10680,3,1,2019-01-03,2019-01-03 2029926,2029926,236210,2,4,6,4,2,2,2,2,4
7011,29,10,2019-10-29,2019-10-29 2113940,2113940,236220,2,4,6,4,2,2,2,3,4
1478,30,10,2019-10-30,2019-10-30 2079867,2079867,237110,1,4,4,5,2,2,2,3,2
15151,10,8,2019-08-10,2019-08-10 2103532,2103532,236110,3,4,2,3,2,2,2,3,2
19583,21,8,2019-08-21,2019-08-21 2108079,2108079,236220,4,4,5,5,2,2,2,4,3
2114,24,9,2019-09-24,2019-09-24 2042185,2042185,236110,1,4,4,5,2,2,2,4,2
2301,21,5,2019-05-21,2019-05-21 2084368,2084368,236110,1,4,4,5,2,2,2,3,2
14108,17,6,2019-06-17,2019-06-17 2090926,2090926,236110,2,4,6,4,2,2,2,3,4
15719,31,1,2019-01-31,2019-01-31 218554,218554,541940,3,12,7,1,2,1,1,4,5
2375,3,5,2019-05-03,2019-05-03 2065411,2065411,236220,1,4,4,5,2,2,2,4,2
12842,28,8,2019-08-28,2019-08-28 2047241,2047241,236110,2,4,6,4,2,2,2,4,4
19727,19,9,2019-09-19,2019-09-19 2115279,2115279,336110,4,5,7,2,1,1,2,3,5
17007,23,6,2019-06-23,2019-06-23 2091953,2091953,812115,3,10,1,2,1,1,2,3,1
26168,9,8,2019-08-09,2019-08-09 2085757,2085757,236220,5,4,2,4,2,2,2,4,1
18657,16,3,2019-03-16,2019-03-16 2069501,2069501,236110,4,4,5,5,2,2,2,3,3
26814,1,3,2019-03-01,2019-03-01 73878,73878,812320,5,10,1,1,1,1,2,2,1
11020,12,7,2019-07-12,2019-07-12 2096964,2096964,236220,2,4,6,4,2,2,2,3,4
24746,29,10,2019-10-29,2019-10-29 1814116,1814116,236220,5,4,2,4,2,2,2,2,1
19479,25,10,2019-10-25,2019-10-25 1323671,1323671,445110,4,12,7,1,2,1,1,1,5
23308,3,7,2019-07-03,2019-07-03 15595,15595,332910,4,5,7,2,1,1,2,1,5
8208,31,5,2019-05-31,2019-05-31 2078931,2078931,236110,2,4,6,4,2,2,2,3,4
16777,20,11,2019-11-20,2019-11-20 2131511,2131511,448130,3,12,7,1,2,1,1,1,5
7522,4,12,2019-12-04,2019-12-04 1880821,1880821,236220,2,4,6,4,2,2,2,3,4
18863,19,6,2019-06-19,2019-06-19 2083487,2083487,236110,4,4,5,5,2,2,2,4,3
1386,4,7,2019-07-04,2019-07-04 2007705,2007705,236110,1,4,4,5,2,2,2,1,2
15502,10,6,2019-06-10,2019-06-10 1837555,1837555,447110,3,12,7,1,2,1,1,3,5
2593,2,12,2019-12-02,2019-12-02 2133162,2133162,236110,1,4,4,5,2,2,2,4,2
942,30,1,2019-01-30,2019-01-30 1890719,1890719,212323,1,2,1,2,1,2,1,1,1
9555,27,11,2019-11-27,2019-11-27 1786165,1786165,493110,2,6,6,3,1,1,2,4,5
8502,15,5,2019-05-15,2019-05-15 1693219,1693219,443144,2,12,7,1,2,1,1,4,5
2973,18,3,2019-03-18,2019-03-18 48230,48230,811121,1,10,1,2,1,1,2,1,1
7379,27,11,2019-11-27,2019-11-27 13227,13227,448320,2,12,7,1,2,1,1,4,5
19148,4,12,2019-12-04,2019-12-04 2134397,2134397,237110,4,4,5,5,2,2,2,3,3
26351,22,11,2019-11-22,2019-11-22 2131709,2131709,238160,5,4,2,4,2,2,2,1,1
14674,5,9,2019-09-05,2019-09-05 2112661,2112661,236110,3,4,2,3,2,2,2,4,2
26820,26,4,2019-04-26,2019-04-26 32344,32344,333120,5,5,1,1,1,1,2,4,1
26318,8,3,2019-03-08,2019-03-08 2057897,2057897,236220,5,4,2,4,2,2,2,1,1
19339,12,9,2019-09-12,2019-09-12 2050099,2050099,236110,4,4,5,5,2,2,2,2,3
19195,26,10,2019-10-26,2019-10-26 2124459,2124459,236110,4,4,5,5,2,2,2,4,3
25846,18,7,2019-07-18,2019-07-18 1049395,1049395,238220,5,4,2,4,2,2,2,2,1
16037,30,10,2019-10-30,2019-10-30 2122511,2122511,236220,3,4,2,3,2,2,2,2,2
4642,25,9,2019-09-25,2019-09-25 70115,70115,623999,1,8,4,1,1,2,1,4,4
19666,18,4,2019-04-18,2019-04-18 1708004,1708004,444130,4,12,7,1,2,1,1,1,5
24235,23,5,2019-05-23,2019-05-23 1892322,1892322,212323,5,2,1,3,1,2,1,2,1
22605,21,5,2019-05-21,2019-05-21 1129477,1129477,448140,4,12,7,1,2,1,1,3,5
6466,16,9,2019-09-16,2019-09-16 2114658,2114658,236220,2,4,6,4,2,2,2,3,4
16589,28,11,2019-11-28,2019-11-28 2132900,2132900,811111,3,10,1,2,1,1,2,1,1
18964,7,2,2019-02-07,2019-02-07 2038591,2038591,236110,4,4,5,5,2,2,2,1,3
15068,23,3,2019-03-23,2019-03-23 2070854,2070854,238160,3,4,2,3,2,2,2,1,2
18259,9,4,2019-04-09,2019-04-09 2073554,2073554,236110,4,4,5,5,2,2,2,4,3
11775,13,3,2019-03-13,2019-03-13 2047243,2047243,236110,2,4,6,4,2,2,2,3,4
10582,8,3,2019-03-08,2019-03-08 1837306,1837306,417320,2,12,7,1,2,1,1,3,5
21245,15,3,2019-03-15,2019-03-15 2026836,2026836,236220,4,4,5,5,2,2,2,3,3
408,9,9,2019-09-09,2019-09-09 1308643,1308643,444110,1,12,6,1,2,1,1,1,5
22180,27,11,2019-11-27,2019-11-27 2069928,2069928,236110,4,4,5,5,2,2,2,2,3
11704,17,4,2019-04-17,2019-04-17 2078714,2078714,236110,2,4,6,4,2,2,2,4,4
17126,16,7,2019-07-16,2019-07-16 2049290,2049290,236110,3,4,2,3,2,2,2,3,2
