Industry Sector,Age Group,Year,NoLostTime,Lost Time,Deaths,,,,,,,,,,,,,
Manufacturing,60-64,2019,1421,623,0,,,,,,,,,,,,,
Manufacturing,65+,2019,786,251,0,,,,,,,,,,,,,
Manufacturing,Not Available,2019,10,3,0,,,,,,,,,,,,,
Mining,15-19,2019,21,3,0,,,,,,,,,,,,,
Mining,20-24,2019,101,13,0,,,,,,,,,,,,,
Mining,25-29,2019,135,23,0,,,,,,,,,,,,,
Mining,30-34,2019,135,16,0,,,,,,,,,,,,,
Mining,35-39,2019,140,32,0,,,,,,,,,,,,,
Mining,40-44,2019,93,25,0,,,,,,,,,,,,,
Mining,45-49,2019,118,19,0,,,,,,,,,,,,,
Mining,50-54,2019,90,29,0,,,,,,,,,,,,,
Mining,55-59,2019,115,30,0,,,,,,,,,,,,,
Mining,60-64,2019,83,15,0,,,,,,,,,,,,,
Mining,65+,2019,92,9,0,,,,,,,,,,,,,
Mining,Not Available,2019,1,0,0,,,,,,,,,,,,,
Municipal,15-19,2019,99,45,0,,,,,,,,,,,,,
Municipal,20-24,2019,142,62,0,,,,,,,,,,,,,
Municipal,25-29,2019,156,72,0,,,,,,,,,,,,,
Municipal,30-34,2019,166,70,0,,,,,,,,,,,,,
Municipal,35-39,2019,123,79,0,,,,,,,,,,,,,
Municipal,40-44,2019,129,88,0,,,,,,,,,,,,,
Municipal,45-49,2019,139,78,0,,,,,,,,,,,,,
Municipal,50-54,2019,160,106,0,,,,,,,,,,,,,
Municipal,55-59,2019,140,91,0,,,,,,,,,,,,,
Municipal,60-64,2019,89,46,0,,,,,,,,,,,,,
Municipal,65+,2019,50,36,0,,,,,,,,,,,,,
Municipal,Not Available,2019,3,0,0,,,,,,,,,,,,,
Primary Metals,15-19,2019,21,1,0,,,,,,,,,,,,,
Primary Metals,20-24,2019,105,20,0,,,,,,,,,,,,,
Primary Metals,25-29,2019,162,36,0,,,,,,,,,,,,,
Primary Metals,30-34,2019,170,23,0,,,,,,,,,,,,,
Primary Metals,35-39,2019,168,24,0,,,,,,,,,,,,,
Primary Metals,40-44,2019,180,33,0,,,,,,,,,,,,,
Primary Metals,45-49,2019,189,41,0,,,,,,,,,,,,,
Primary Metals,50-54,2019,183,28,0,,,,,,,,,,,,,
Primary Metals,55-59,2019,222,49,0,,,,,,,,,,,,,
Primary Metals,60-64,2019,161,27,0,,,,,,,,,,,,,
Primary Metals,65+,2019,108,7,0,,,,,,,,,,,,,
Primary Metals,Not Available,2019,0,0,0,,,,,,,,,,,,,
Pulp & Paper,15-19,2019,6,1,0,,,,,,,,,,,,,
Pulp & Paper,20-24,2019,32,9,0,,,,,,,,,,,,,
Pulp & Paper,25-29,2019,43,10,0,,,,,,,,,,,,,
Pulp & Paper,30-34,2019,41,2,0,,,,,,,,,,,,,
Pulp & Paper,35-39,2019,44,13,0,,,,,,,,,,,,,
Pulp & Paper,40-44,2019,31,10,0,,,,,,,,,,,,,
Pulp & Paper,45-49,2019,43,14,0,,,,,,,,,,,,,
Pulp & Paper,50-54,2019,32,10,0,,,,,,,,,,,,,
Pulp & Paper,55-59,2019,51,13,0,,,,,,,,,,,,,
Pulp & Paper,60-64,2019,44,11,0,,,,,,,,,,,,,
Pulp & Paper,65+,2019,43,10,0,,,,,,,,,,,,,
Pulp & Paper,Not Available,2019,1,0,0,,,,,,,,,,,,,
Schedule 2,15-19,2019,255,183,0,,,,,,,,,,,,,
Schedule 2,20-24,2019,846,597,0,,,,,,,,,,,,,
Schedule 2,25-29,2019,1653,1490,2,,,,,,,,,,,,,
Schedule 2,30-34,2019,1773,1833,1,,,,,,,,,,,,,
Schedule 2,35-39,2019,1808,2026,0,,,,,,,,,,,,,
Schedule 2,40-44,2019,1851,2292,0,,,,,,,,,,,,,
Schedule 2,45-49,2019,1959,2358,0,,,,,,,,,,,,,
Schedule 2,50-54,2019,1988,2441,1,,,,,,,,,,,,,
Schedule 2,55-59,2019,1834,2062,1,,,,,,,,,,,,,
Schedule 2,60-64,2019,858,989,0,,,,,,,,,,,,,
Schedule 2,65+,2019,485,361,1,,,,,,,,,,,,,
Schedule 2,Not Available,2019,6,3,0,,,,,,,,,,,,,
Services,15-19,2019,3277,1313,0,,,,,,,,,,,,,
Services,20-24,2019,5351,2695,0,,,,,,,,,,,,,
Services,25-29,2019,4019,2017,0,,,,,,,,,,,,,
Services,30-34,2019,2805,1483,0,,,,,,,,,,,,,
Services,35-39,2019,2421,1252,0,,,,,,,,,,,,,
Services,40-44,2019,2223,1225,1,,,,,,,,,,,,,
Services,45-49,2019,2256,1288,0,,,,,,,,,,,,,
Services,50-54,2019,2336,1403,3,,,,,,,,,,,,,
Services,55-59,2019,2405,1450,2,,,,,,,,,,,,,
Services,60-64,2019,1575,980,1,,,,,,,,,,,,,
Services,65+,2019,895,542,0,,,,,,,,,,,,,
Services,Not Available,2019,73,10,0,,,,,,,,,,,,,
Transportation,15-19,2019,311,122,0,,,,,,,,,,,,,
Transportation,20-24,2019,1107,447,2,,,,,,,,,,,,,
Transportation,25-29,2019,1082,514,0,,,,,,,,,,,,,
Transportation,30-34,2019,979,500,2,,,,,,,,,,,,,
Transportation,35-39,2019,892,488,1,,,,,,,,,,,,,
Transportation,40-44,2019,921,551,1,,,,,,,,,,,,,
Transportation,45-49,2019,972,581,1,,,,,,,,,,,,,
Transportation,50-54,2019,1018,616,0,,,,,,,,,,,,,
Transportation,55-59,2019,1004,675,1,,,,,,,,,,,,,
Transportation,60-64,2019,681,495,2,,,,,,,,,,,,,
Transportation,65+,2019,468,268,1,,,,,,,,,,,,,
Transportation,Not Available,2019,3,0,0,,,,,,,,,,,,,
