Industry Sector,Age Group,Gender,2011,2012,2013,2014,2015,2016,2017,2018,2019
Construction,65+,Female,1,3,8,5,9,6,19,15,42
Construction,65+,Male,301,295,309,326,357,397,479,483,572
Education,15-19,Female,93,112,114,98,83,98,87,79,79
Education,15-19,Male,216,224,212,186,181,166,149,162,132
Education,20-24,Female,47,59,74,71,70,64,86,75,80
Education,20-24,Male,36,51,53,48,42,39,43,39,44
Education,25-29,Female,67,56,56,87,67,64,66,58,79
Education,25-29,Male,46,34,45,47,24,40,38,41,38
Education,30-34,Female,49,49,64,62,55,51,58,52,56
Education,30-34,Male,29,42,49,56,30,27,32,38,31
Education,35-39,Female,50,47,60,62,63,61,68,63,87
Education,35-39,Male,39,32,36,29,25,24,35,24,43
Education,40-44,Female,67,75,67,91,65,67,74,71,72
Education,40-44,Male,34,44,40,39,35,30,33,33,35
Education,45-49,Female,94,94,81,92,87,62,81,88,86
Education,45-49,Male,51,53,40,37,48,53,33,37,54
Education,50-54,Female,109,123,102,105,101,96,77,95,110
Education,50-54,Male,55,46,57,58,73,46,64,45,62
Education,55-59,Female,91,81,86,91,83,78,86,98,120
Education,55-59,Male,44,51,47,59,58,50,54,60,55
Education,60-64,Female,45,47,47,56,44,66,41,72,66
Education,60-64,Male,36,30,35,31,31,34,32,27,47
Education,65+,Female,7,7,17,17,11,23,19,28,24
Education,65+,Male,23,26,23,23,26,22,18,23,29
Electrical,15-19,Female,1,1,2,1,1,4,3,1,4
Electrical,15-19,Male,19,20,19,26,15,17,15,19,19
Electrical,20-24,Female,9,7,11,14,11,9,11,16,15
Electrical,20-24,Male,136,130,159,166,140,146,121,146,160
Electrical,25-29,Female,18,18,15,15,18,12,13,23,17
Electrical,25-29,Male,220,227,238,213,208,210,227,217,206
Electrical,30-34,Female,30,27,25,20,13,19,14,18,15
Electrical,30-34,Male,192,201,231,242,215,219,233,213,207
Electrical,35-39,Female,16,12,23,16,7,15,8,19,5
Electrical,35-39,Male,142,142,185,184,144,154,181,169,149
Electrical,40-44,Female,24,28,17,12,12,19,9,7,14
Electrical,40-44,Male,159,147,182,136,112,127,122,148,135
Electrical,45-49,Female,38,29,33,22,7,15,13,17,13
Electrical,45-49,Male,177,193,187,189,122,129,114,101,93
Electrical,50-54,Female,20,22,27,24,16,16,18,16,14
Electrical,50-54,Male,154,177,196,180,155,160,141,124,117
Electrical,55-59,Female,11,24,16,11,16,15,11,13,14
Electrical,55-59,Male,108,113,105,111,103,91,103,88,102
Electrical,60-64,Female,5,5,5,5,7,7,4,4,6
Electrical,60-64,Male,66,55,45,47,47,43,46,47,43
Electrical,65+,Female,0,1,1,2,1,3,2,3,4
Electrical,65+,Male,27,31,29,40,35,27,27,31,29
Food,15-19,Female,19,19,19,28,23,30,25,39,33
Food,15-19,Male,72,69,66,65,59,63,62,82,72
Food,20-24,Female,80,82,63,92,90,111,106,98,121
Food,20-24,Male,251,264,226,251,234,275,257,277,271
Food,25-29,Female,102,105,96,65,82,94,115,121,124
Food,25-29,Male,330,286,303,274,250,270,315,283,329
Food,30-34,Female,114,116,115,111,99,111,97,124,96
Food,30-34,Male,366,344,281,278,259,266,287,275,288
Food,35-39,Female,168,142,109,135,123,110,112,117,121
Food,35-39,Male,370,320,352,305,287,297,276,306,302
Food,40-44,Female,181,174,172,154,157,130,151,166,171
Food,40-44,Male,366,373,325,334,303,313,313,306,290
Food,45-49,Female,283,256,225,190,187,181,187,188,191
Food,45-49,Male,423,390,358,302,319,296,314,338,304
Food,50-54,Female,255,258,287,222,223,191,194,217,210
Food,50-54,Male,402,395,386,370,338,326,345,341,324
Food,55-59,Female,149,142,176,143,147,162,189,194,199
Food,55-59,Male,277,268,318,298,268,286,304,296,337
Food,60-64,Female,56,64,72,88,79,70,79,94,102
Food,60-64,Male,160,175,139,187,185,172,173,218,225
Food,65+,Female,24,17,20,16,25,30,17,31,34
Food,65+,Male,55,78,74,92,78,79,104,116,144
Forestry,15-19,Female,2,3,2,8,4,7,7,7,5
Forestry,15-19,Male,13,15,23,23,33,25,19,27,31
Forestry,20-24,Female,7,5,15,13,13,26,9,24,26
Forestry,20-24,Male,49,49,59,51,64,80,62,84,66
Forestry,25-29,Female,2,2,7,3,6,7,7,8,13
Forestry,25-29,Male,38,36,46,46,67,45,48,57,61
Forestry,30-34,Female,2,3,0,3,7,1,5,4,3
Forestry,30-34,Male,27,40,34,40,41,41,52,52,45
Forestry,35-39,Female,1,5,4,5,0,5,5,4,7
Forestry,35-39,Male,28,42,33,33,40,38,42,32,51
Forestry,40-44,Female,8,4,6,3,4,8,10,9,11
Forestry,40-44,Male,39,39,44,35,40,42,36,40,36
Forestry,45-49,Female,4,3,7,1,9,4,3,6,3
Forestry,45-49,Male,52,42,55,40,45,35,50,47,37
Forestry,50-54,Female,7,5,7,7,9,5,5,1,8
Forestry,50-54,Male,72,47,59,57,61,48,62,48,45
Forestry,55-59,Female,4,3,7,4,4,3,5,6,10
Forestry,55-59,Male,60,68,68,70,61,44,60,64,57
Forestry,60-64,Female,1,0,0,1,3,3,1,2,4
Forestry,60-64,Male,29,32,33,35,38,27,51,50,45
Forestry,65+,Female,2,1,3,2,2,1,1,3,6
Forestry,65+,Male,24,29,42,55,43,42,42,46,43
Health Care,15-19,Female,49,52,57,65,48,62,65,92,94
Health Care,15-19,Male,18,20,16,28,14,16,21,18,12
Health Care,20-24,Female,688,820,765,810,825,883,878,998,1063
Health Care,20-24,Male,120,117,122,107,124,123,131,151,160
Health Care,25-29,Female,1256,1368,1403,1500,1390,1451,1628,1602,1677
Health Care,25-29,Male,229,239,263,243,266,195,259,305,319
Health Care,30-34,Female,1156,1199,1262,1337,1375,1395,1488,1523,1586
Health Care,30-34,Male,203,209,209,237,246,225,236,250,275
Health Care,35-39,Female,1317,1321,1334,1441,1289,1369,1466,1485,1602
Health Care,35-39,Male,196,218,205,215,216,191,217,235,259
Health Care,40-44,Female,1505,1459,1553,1573,1480,1432,1458,1587,1517
Health Care,40-44,Male,191,217,258,237,224,222,240,236,235
Health Care,45-49,Female,1804,1704,1683,1679,1587,1575,1655,1675,1708
Health Care,45-49,Male,266,267,271,222,199,247,250,268,247
Health Care,50-54,Female,1676,1769,1839,1906,1891,1826,1855,1855,1824
Health Care,50-54,Male,232,274,264,266,272,238,259,264,245
Health Care,55-59,Female,1265,1304,1319,1460,1373,1465,1613,1578,1658
Health Care,55-59,Male,162,174,198,192,201,238,260,218,235
Health Care,60-64,Female,571,664,712,739,761,781,811,884,942
Health Care,60-64,Male,81,88,100,106,95,94,139,140,144
Health Care,65+,Female,129,168,222,230,222,237,276,281,320
Health Care,65+,Male,40,25,46,40,31,40,50,50,60
Manufacturing,15-19,Female,45,40,50,53,73,65,69,73,67
Manufacturing,15-19,Male,425,539,462,516,555,534,551,519,540
Manufacturing,20-24,Female,200,218,205,216,251,302,354,355,365
Manufacturing,20-24,Male,1827,1891,1848,1797,1921,1944,2029,2076,2041
Manufacturing,25-29,Female,269,254,240,264,260,288,319,363,393
Manufacturing,25-29,Male,2003,2004,1903,1806,1988,1878,1951,2082,2094
Manufacturing,30-34,Female,279,266,272,266,218,230,242,290,300
Manufacturing,30-34,Male,1922,1880,1839,1773,1736,1630,1696,1728,1793
Manufacturing,35-39,Female,329,312,277,293,257,230,280,329,277
Manufacturing,35-39,Male,1841,1851,1730,1684,1582,1509,1492,1614,1560
Manufacturing,40-44,Female,363,360,369,351,310,329,352,333,372
Manufacturing,40-44,Male,1892,1811,1691,1628,1582,1554,1484,1470,1466
Manufacturing,45-49,Female,524,496,443,416,419,365,381,387,396
Manufacturing,45-49,Male,2191,2118,1915,1754,1647,1625,1505,1541,1490
Manufacturing,50-54,Female,512,499,503,461,441,431,497,463,474
Manufacturing,50-54,Male,2023,2002,1891,1966,1946,1860,1693,1712,1662
Manufacturing,55-59,Female,318,392,374,377,409,358,403,427,500
Manufacturing,55-59,Male,1384,1444,1500,1529,1482,1499,1572,1720,1808
Manufacturing,60-64,Female,169,166,184,183,235,184,229,252,275
Manufacturing,60-64,Male,862,872,900,919,959,957,1103,1186,1144
Manufacturing,65+,Female,98,83,96,77,99,101,94,100,124
Manufacturing,65+,Male,505,559,562,606,674,644,585,719,662
