Geography 2 3,Age group,Reference period,Persons(1000s)
"Ottawa-Gatineau, Ontario part, Ontario/Quebec",25 to 44 years,2019,276.5
"Ottawa-Gatineau, Ontario part, Ontario/Quebec",45 years and over,2015,218
"Ottawa-Gatineau, Ontario part, Ontario/Quebec",45 years and over,2016,235.2
"Ottawa-Gatineau, Ontario part, Ontario/Quebec",45 years and over,2017,249.4
"Ottawa-Gatineau, Ontario part, Ontario/Quebec",45 years and over,2018,237.8
"Ottawa-Gatineau, Ontario part, Ontario/Quebec",45 years and over,2019,251.5
"Ottawa-Gatineau, Ontario part, Ontario/Quebec",25 to 54 years,2015,384.5
"Ottawa-Gatineau, Ontario part, Ontario/Quebec",25 to 54 years,2016,380.7
"Ottawa-Gatineau, Ontario part, Ontario/Quebec",25 to 54 years,2017,384.6
"Ottawa-Gatineau, Ontario part, Ontario/Quebec",25 to 54 years,2018,384.3
"Ottawa-Gatineau, Ontario part, Ontario/Quebec",25 to 54 years,2019,406.9
"Ottawa-Gatineau, Ontario part, Ontario/Quebec",55 years and over,2015,92.6
"Ottawa-Gatineau, Ontario part, Ontario/Quebec",55 years and over,2016,110
"Ottawa-Gatineau, Ontario part, Ontario/Quebec",55 years and over,2017,110.7
"Ottawa-Gatineau, Ontario part, Ontario/Quebec",55 years and over,2018,110.3
"Ottawa-Gatineau, Ontario part, Ontario/Quebec",55 years and over,2019,121
"Ottawa-Gatineau, Ontario part, Ontario/Quebec",55 to 64 years,2015,72.8
"Ottawa-Gatineau, Ontario part, Ontario/Quebec",55 to 64 years,2016,89.1
"Ottawa-Gatineau, Ontario part, Ontario/Quebec",55 to 64 years,2017,89.7
"Ottawa-Gatineau, Ontario part, Ontario/Quebec",55 to 64 years,2018,92.1
"Ottawa-Gatineau, Ontario part, Ontario/Quebec",55 to 64 years,2019,94.4
"Ottawa-Gatineau, Ontario part, Ontario/Quebec",65 years and over,2015,19.7
"Ottawa-Gatineau, Ontario part, Ontario/Quebec",65 years and over,2016,20.9
"Ottawa-Gatineau, Ontario part, Ontario/Quebec",65 years and over,2017,21
"Ottawa-Gatineau, Ontario part, Ontario/Quebec",65 years and over,2018,18.1
"Ottawa-Gatineau, Ontario part, Ontario/Quebec",65 years and over,2019,26.6
"Kingston, Ontario",15 years and over,2015,85.2
"Kingston, Ontario",15 years and over,2016,85.2
"Kingston, Ontario",15 years and over,2017,89
"Kingston, Ontario",15 years and over,2018,87.9
"Kingston, Ontario",15 years and over,2019,88.5
"Kingston, Ontario",15 to 24 years,2015,13.6
"Kingston, Ontario",15 to 24 years,2016,12.9
"Kingston, Ontario",15 to 24 years,2017,13.9
"Kingston, Ontario",15 to 24 years,2018,14.3
"Kingston, Ontario",15 to 24 years,2019,14
"Kingston, Ontario",25 years and over,2015,71.6
"Kingston, Ontario",25 years and over,2016,72.3
"Kingston, Ontario",25 years and over,2017,75.1
"Kingston, Ontario",25 years and over,2018,73.6
"Kingston, Ontario",25 years and over,2019,74.5
"Kingston, Ontario",25 to 44 years,2015,34.2
"Kingston, Ontario",25 to 44 years,2016,33.5
"Kingston, Ontario",25 to 44 years,2017,37.2
"Kingston, Ontario",25 to 44 years,2018,34.4
"Kingston, Ontario",25 to 44 years,2019,37.2
"Kingston, Ontario",45 years and over,2015,37.5
"Kingston, Ontario",45 years and over,2016,38.8
"Kingston, Ontario",45 years and over,2017,37.9
"Kingston, Ontario",45 years and over,2018,39.1
"Kingston, Ontario",45 years and over,2019,37.4
"Kingston, Ontario",25 to 54 years,2015,52.8
"Kingston, Ontario",25 to 54 years,2016,53.8
"Kingston, Ontario",25 to 54 years,2017,55.2
"Kingston, Ontario",25 to 54 years,2018,52.2
"Kingston, Ontario",25 to 54 years,2019,53.8
"Kingston, Ontario",55 years and over,2015,18.9
"Kingston, Ontario",55 years and over,2016,18.5
"Kingston, Ontario",55 years and over,2017,19.9
"Kingston, Ontario",55 years and over,2018,21.4
"Kingston, Ontario",55 years and over,2019,20.7
"Kingston, Ontario",55 to 64 years,2015,15
"Kingston, Ontario",55 to 64 years,2016,14.1
"Kingston, Ontario",55 to 64 years,2017,16
"Kingston, Ontario",55 to 64 years,2018,15.8
"Kingston, Ontario",55 to 64 years,2019,15.5
"Kingston, Ontario",65 years and over,2015,3.8
"Kingston, Ontario",65 years and over,2016,4.4
"Kingston, Ontario",65 years and over,2017,3.9
"Kingston, Ontario",65 years and over,2018,5.6
"Kingston, Ontario",65 years and over,2019,5.2
"Belleville, Ontario",15 years and over,2015,34.7
"Belleville, Ontario",15 years and over,2016,37.2
"Belleville, Ontario",15 years and over,2017,44.6
"Belleville, Ontario",15 years and over,2018,43
"Belleville, Ontario",15 years and over,2019,56
"Belleville, Ontario",15 to 24 years,2015,5.2
"Belleville, Ontario",15 to 24 years,2016,5.5
"Belleville, Ontario",15 to 24 years,2017,5.7
"Belleville, Ontario",15 to 24 years,2018,8.2
"Belleville, Ontario",15 to 24 years,2019,4.9
"Belleville, Ontario",25 years and over,2015,29.4
"Belleville, Ontario",25 years and over,2016,31.7
"Belleville, Ontario",25 years and over,2017,38.9
"Belleville, Ontario",25 years and over,2018,34.8
"Belleville, Ontario",25 years and over,2019,51.1
"Belleville, Ontario",25 to 44 years,2015,15.9
"Belleville, Ontario",25 to 44 years,2016,17.6
"Belleville, Ontario",25 to 44 years,2017,20.2
"Belleville, Ontario",25 to 44 years,2018,17.2
"Belleville, Ontario",25 to 44 years,2019,21.2
"Belleville, Ontario",45 years and over,2015,13.5
"Belleville, Ontario",45 years and over,2016,14.1
"Belleville, Ontario",45 years and over,2017,18.7
"Belleville, Ontario",45 years and over,2018,17.6
"Belleville, Ontario",45 years and over,2019,29.9
"Belleville, Ontario",25 to 54 years,2015,21.5
"Belleville, Ontario",25 to 54 years,2016,25.3
"Belleville, Ontario",25 to 54 years,2017,28.3
"Belleville, Ontario",25 to 54 years,2018,23.1
"Belleville, Ontario",25 to 54 years,2019,31.4
"Belleville, Ontario",55 years and over,2015,8
"Belleville, Ontario",55 years and over,2016,6.5
"Belleville, Ontario",55 years and over,2017,10.7
"Belleville, Ontario",55 years and over,2018,11.7
"Belleville, Ontario",55 years and over,2019,19.7
"Belleville, Ontario",55 to 64 years,2015,5.8
"Belleville, Ontario",55 to 64 years,2016,4.8
"Belleville, Ontario",55 to 64 years,2017,7.7
"Belleville, Ontario",55 to 64 years,2018,8
"Belleville, Ontario",55 to 64 years,2019,17.3
"Belleville, Ontario",65 years and over,2015,2.2
"Belleville, Ontario",65 years and over,2016,1.7
"Belleville, Ontario",65 years and over,2017,3
"Belleville, Ontario",65 years and over,2018,3.8
"Belleville, Ontario",65 years and over,2019,2.4
"Peterborough, Ontario 5",15 years and over,2015,64.8
"Peterborough, Ontario 5",15 years and over,2016,61.7
"Peterborough, Ontario 5",15 years and over,2017,65.6
"Peterborough, Ontario 5",15 years and over,2018,68
"Peterborough, Ontario 5",15 years and over,2019,66.1
"Peterborough, Ontario 5",15 to 24 years,2015,11.7
"Peterborough, Ontario 5",15 to 24 years,2016,9.2
"Peterborough, Ontario 5",15 to 24 years,2017,11.6
"Peterborough, Ontario 5",15 to 24 years,2018,12.3
"Peterborough, Ontario 5",15 to 24 years,2019,10.7
"Peterborough, Ontario 5",25 years and over,2015,53
"Peterborough, Ontario 5",25 years and over,2016,52.5
"Peterborough, Ontario 5",25 years and over,2017,54
"Peterborough, Ontario 5",25 years and over,2018,55.8
"Peterborough, Ontario 5",25 years and over,2019,55.3
"Peterborough, Ontario 5",25 to 44 years,2015,24.5
"Peterborough, Ontario 5",25 to 44 years,2016,24.6
"Peterborough, Ontario 5",25 to 44 years,2017,28.1
"Peterborough, Ontario 5",25 to 44 years,2018,26.2
"Peterborough, Ontario 5",25 to 44 years,2019,25.5
"Peterborough, Ontario 5",45 years and over,2015,28.5
"Peterborough, Ontario 5",45 years and over,2016,27.9
"Peterborough, Ontario 5",45 years and over,2017,25.9
"Peterborough, Ontario 5",45 years and over,2018,29.6
"Peterborough, Ontario 5",45 years and over,2019,29.9
"Peterborough, Ontario 5",25 to 54 years,2015,41.2
"Peterborough, Ontario 5",25 to 54 years,2016,39
"Peterborough, Ontario 5",25 to 54 years,2017,40.5
"Peterborough, Ontario 5",25 to 54 years,2018,40.6
"Peterborough, Ontario 5",25 to 54 years,2019,38.9
"Peterborough, Ontario 5",55 years and over,2015,11.9
"Peterborough, Ontario 5",55 years and over,2016,13.6
"Peterborough, Ontario 5",55 years and over,2017,13.4
"Peterborough, Ontario 5",55 years and over,2018,15.2
"Peterborough, Ontario 5",55 years and over,2019,16.4
"Peterborough, Ontario 5",55 to 64 years,2015,9.6
"Peterborough, Ontario 5",55 to 64 years,2016,10.3
"Peterborough, Ontario 5",55 to 64 years,2017,9.6
"Peterborough, Ontario 5",55 to 64 years,2018,11.8
"Peterborough, Ontario 5",55 to 64 years,2019,12.8
"Peterborough, Ontario 5",65 years and over,2015,2.2
"Peterborough, Ontario 5",65 years and over,2016,3.3
"Peterborough, Ontario 5",65 years and over,2017,3.8
"Peterborough, Ontario 5",65 years and over,2018,3.4
"Peterborough, Ontario 5",65 years and over,2019,3.6
"Oshawa, Ontario",15 years and over,2015,207.1
"Oshawa, Ontario",15 years and over,2016,221.4
"Oshawa, Ontario",15 years and over,2017,216.8
"Oshawa, Ontario",15 years and over,2018,226.5
"Oshawa, Ontario",15 years and over,2019,225.3
"Oshawa, Ontario",15 to 24 years,2015,31.3
"Oshawa, Ontario",15 to 24 years,2016,35.4
"Oshawa, Ontario",15 to 24 years,2017,31.3
"Oshawa, Ontario",15 to 24 years,2018,37.9
"Oshawa, Ontario",15 to 24 years,2019,33.2
"Oshawa, Ontario",25 years and over,2015,175.8
"Oshawa, Ontario",25 years and over,2016,186.1
"Oshawa, Ontario",25 years and over,2017,185.5
"Oshawa, Ontario",25 years and over,2018,188.6
"Oshawa, Ontario",25 years and over,2019,192.1
"Oshawa, Ontario",25 to 44 years,2015,85.5
"Oshawa, Ontario",25 to 44 years,2016,93
"Oshawa, Ontario",25 to 44 years,2017,92
"Oshawa, Ontario",25 to 44 years,2018,97.4
"Oshawa, Ontario",25 to 44 years,2019,95.4
"Oshawa, Ontario",45 years and over,2015,90.2
"Oshawa, Ontario",45 years and over,2016,93.1
"Oshawa, Ontario",45 years and over,2017,93.6
"Oshawa, Ontario",45 years and over,2018,91.2
"Oshawa, Ontario",45 years and over,2019,96.7
"Oshawa, Ontario",25 to 54 years,2015,138.4
"Oshawa, Ontario",25 to 54 years,2016,146.3
"Oshawa, Ontario",25 to 54 years,2017,141.6
"Oshawa, Ontario",25 to 54 years,2018,148.3
"Oshawa, Ontario",25 to 54 years,2019,145
"Oshawa, Ontario",55 years and over,2015,37.4
"Oshawa, Ontario",55 years and over,2016,39.8
"Oshawa, Ontario",55 years and over,2017,43.9
"Oshawa, Ontario",55 years and over,2018,40.3
"Oshawa, Ontario",55 years and over,2019,47.1
"Oshawa, Ontario",55 to 64 years,2015,31.8
