Geography 2 3,Age group,Reference period,Persons(1000s)
"Kitchener-Cambridge-Waterloo, Ontario",65 years and over,2018,9.9
"Kitchener-Cambridge-Waterloo, Ontario",65 years and over,2019,12.7
"Brantford, Ontario",15 years and over,2015,73.2
"Brantford, Ontario",15 years and over,2016,74.4
"Brantford, Ontario",15 years and over,2017,75.6
"Brantford, Ontario",15 years and over,2018,74.3
"Brantford, Ontario",15 years and over,2019,81.6
"Brantford, Ontario",15 to 24 years,2015,10.3
"Brantford, Ontario",15 to 24 years,2016,12.5
"Brantford, Ontario",15 to 24 years,2017,10.8
"Brantford, Ontario",15 to 24 years,2018,13.2
"Brantford, Ontario",15 to 24 years,2019,13.6
"Brantford, Ontario",25 years and over,2015,62.9
"Brantford, Ontario",25 years and over,2016,62
"Brantford, Ontario",25 years and over,2017,64.8
"Brantford, Ontario",25 years and over,2018,61.1
"Brantford, Ontario",25 years and over,2019,67.9
"Brantford, Ontario",25 to 44 years,2015,30.4
"Brantford, Ontario",25 to 44 years,2016,28.9
"Brantford, Ontario",25 to 44 years,2017,33.8
"Brantford, Ontario",25 to 44 years,2018,31.8
"Brantford, Ontario",25 to 44 years,2019,37.3
"Brantford, Ontario",45 years and over,2015,32.6
"Brantford, Ontario",45 years and over,2016,33
"Brantford, Ontario",45 years and over,2017,31
"Brantford, Ontario",45 years and over,2018,29.3
"Brantford, Ontario",45 years and over,2019,30.6
"Brantford, Ontario",25 to 54 years,2015,47.9
"Brantford, Ontario",25 to 54 years,2016,46.6
"Brantford, Ontario",25 to 54 years,2017,50.1
"Brantford, Ontario",25 to 54 years,2018,48.1
"Brantford, Ontario",25 to 54 years,2019,52.9
"Brantford, Ontario",55 years and over,2015,15
"Brantford, Ontario",55 years and over,2016,15.4
"Brantford, Ontario",55 years and over,2017,14.7
"Brantford, Ontario",55 years and over,2018,13
"Brantford, Ontario",55 years and over,2019,15
"Brantford, Ontario",55 to 64 years,2015,11.2
"Brantford, Ontario",55 to 64 years,2016,12.7
"Brantford, Ontario",55 to 64 years,2017,12.3
"Brantford, Ontario",55 to 64 years,2018,9.9
"Brantford, Ontario",55 to 64 years,2019,12
"Brantford, Ontario",65 years and over,2015,3.8
"Brantford, Ontario",65 years and over,2016,2.6
"Brantford, Ontario",65 years and over,2017,2.4
"Brantford, Ontario",65 years and over,2018,3.1
"Brantford, Ontario",65 years and over,2019,3.1
"Guelph, Ontario",15 years and over,2015,93.1
"Guelph, Ontario",15 years and over,2016,94.7
"Guelph, Ontario",15 years and over,2017,95.7
"Guelph, Ontario",15 years and over,2018,91.7
"Guelph, Ontario",15 years and over,2019,95.7
"Guelph, Ontario",15 to 24 years,2015,13.4
"Guelph, Ontario",15 to 24 years,2016,15.3
"Guelph, Ontario",15 to 24 years,2017,16.3
"Guelph, Ontario",15 to 24 years,2018,14.8
"Guelph, Ontario",15 to 24 years,2019,16.4
"Guelph, Ontario",25 years and over,2015,79.7
"Guelph, Ontario",25 years and over,2016,79.4
"Guelph, Ontario",25 years and over,2017,79.4
"Guelph, Ontario",25 years and over,2018,77
"Guelph, Ontario",25 years and over,2019,79.3
"Guelph, Ontario",25 to 44 years,2015,47.2
"Guelph, Ontario",25 to 44 years,2016,45.1
"Guelph, Ontario",25 to 44 years,2017,43.7
"Guelph, Ontario",25 to 44 years,2018,40.8
"Guelph, Ontario",25 to 44 years,2019,41.6
"Guelph, Ontario",45 years and over,2015,32.5
"Guelph, Ontario",45 years and over,2016,34.3
"Guelph, Ontario",45 years and over,2017,35.7
"Guelph, Ontario",45 years and over,2018,36.2
"Guelph, Ontario",45 years and over,2019,37.7
"Guelph, Ontario",25 to 54 years,2015,64.5
"Guelph, Ontario",25 to 54 years,2016,63.8
"Guelph, Ontario",25 to 54 years,2017,62.7
"Guelph, Ontario",25 to 54 years,2018,58.9
"Guelph, Ontario",25 to 54 years,2019,63.5
"Guelph, Ontario",55 years and over,2015,15.3
"Guelph, Ontario",55 years and over,2016,15.6
"Guelph, Ontario",55 years and over,2017,16.6
"Guelph, Ontario",55 years and over,2018,18
"Guelph, Ontario",55 years and over,2019,15.9
"Guelph, Ontario",55 to 64 years,2015,11.7
"Guelph, Ontario",55 to 64 years,2016,13.3
"Guelph, Ontario",55 to 64 years,2017,14.1
"Guelph, Ontario",55 to 64 years,2018,14.4
"Guelph, Ontario",55 to 64 years,2019,11.8
"Guelph, Ontario",65 years and over,2015,3.6
"Guelph, Ontario",65 years and over,2016,2.4
"Guelph, Ontario",65 years and over,2017,2.5
"Guelph, Ontario",65 years and over,2018,3.6
"Guelph, Ontario",65 years and over,2019,4.1
"London, Ontario",15 years and over,2015,264.5
"London, Ontario",15 years and over,2016,261.1
"London, Ontario",15 years and over,2017,260
"London, Ontario",15 years and over,2018,269.2
"London, Ontario",15 years and over,2019,268.7
"London, Ontario",15 to 24 years,2015,44.1
"London, Ontario",15 to 24 years,2016,39.1
"London, Ontario",15 to 24 years,2017,39.5
"London, Ontario",15 to 24 years,2018,44.7
"London, Ontario",15 to 24 years,2019,39.4
"London, Ontario",25 years and over,2015,220.5
"London, Ontario",25 years and over,2016,222
"London, Ontario",25 years and over,2017,220.5
"London, Ontario",25 years and over,2018,224.4
"London, Ontario",25 years and over,2019,229.3
"London, Ontario",25 to 44 years,2015,108.5
"London, Ontario",25 to 44 years,2016,106.2
"London, Ontario",25 to 44 years,2017,106.4
"London, Ontario",25 to 44 years,2018,114.6
"London, Ontario",25 to 44 years,2019,110.3
"London, Ontario",45 years and over,2015,111.9
"London, Ontario",45 years and over,2016,115.8
"London, Ontario",45 years and over,2017,114.1
"London, Ontario",45 years and over,2018,109.8
"London, Ontario",45 years and over,2019,119.1
"London, Ontario",25 to 54 years,2015,166.8
"London, Ontario",25 to 54 years,2016,165.9
"London, Ontario",25 to 54 years,2017,162.5
"London, Ontario",25 to 54 years,2018,170.6
"London, Ontario",25 to 54 years,2019,168.5
"London, Ontario",55 years and over,2015,53.6
"London, Ontario",55 years and over,2016,56
"London, Ontario",55 years and over,2017,58
"London, Ontario",55 years and over,2018,53.9
"London, Ontario",55 years and over,2019,60.9
"London, Ontario",55 to 64 years,2015,43.6
"London, Ontario",55 to 64 years,2016,44.1
"London, Ontario",55 to 64 years,2017,45.8
"London, Ontario",55 to 64 years,2018,42.3
"London, Ontario",55 to 64 years,2019,48.4
"London, Ontario",65 years and over,2015,10.1
"London, Ontario",65 years and over,2016,11.9
"London, Ontario",65 years and over,2017,12.2
"London, Ontario",65 years and over,2018,11.5
"London, Ontario",65 years and over,2019,12.4
"Windsor, Ontario",15 years and over,2015,173.5
"Windsor, Ontario",15 years and over,2016,172.9
"Windsor, Ontario",15 years and over,2017,170.9
"Windsor, Ontario",15 years and over,2018,174.7
"Windsor, Ontario",15 years and over,2019,182.7
"Windsor, Ontario",15 to 24 years,2015,30.7
"Windsor, Ontario",15 to 24 years,2016,31.3
"Windsor, Ontario",15 to 24 years,2017,30.6
"Windsor, Ontario",15 to 24 years,2018,28.5
"Windsor, Ontario",15 to 24 years,2019,31.4
"Windsor, Ontario",25 years and over,2015,142.8
"Windsor, Ontario",25 years and over,2016,141.6
"Windsor, Ontario",25 years and over,2017,140.4
"Windsor, Ontario",25 years and over,2018,146.2
"Windsor, Ontario",25 years and over,2019,151.3
"Windsor, Ontario",25 to 44 years,2015,69.2
"Windsor, Ontario",25 to 44 years,2016,65.8
"Windsor, Ontario",25 to 44 years,2017,66.8
"Windsor, Ontario",25 to 44 years,2018,74.4
"Windsor, Ontario",25 to 44 years,2019,73.3
"Windsor, Ontario",45 years and over,2015,73.6
"Windsor, Ontario",45 years and over,2016,75.8
"Windsor, Ontario",45 years and over,2017,73.6
"Windsor, Ontario",45 years and over,2018,71.8
"Windsor, Ontario",45 years and over,2019,78
"Windsor, Ontario",25 to 54 years,2015,110.5
"Windsor, Ontario",25 to 54 years,2016,108.6
"Windsor, Ontario",25 to 54 years,2017,105.9
"Windsor, Ontario",25 to 54 years,2018,112.7
"Windsor, Ontario",25 to 54 years,2019,114.6
"Windsor, Ontario",55 years and over,2015,32.3
"Windsor, Ontario",55 years and over,2016,33.1
"Windsor, Ontario",55 years and over,2017,34.5
"Windsor, Ontario",55 years and over,2018,33.4
"Windsor, Ontario",55 years and over,2019,36.7
"Windsor, Ontario",55 to 64 years,2015,27.1
"Windsor, Ontario",55 to 64 years,2016,28.2
"Windsor, Ontario",55 to 64 years,2017,29.4
"Windsor, Ontario",55 to 64 years,2018,27.7
"Windsor, Ontario",55 to 64 years,2019,28
"Windsor, Ontario",65 years and over,2015,5.2
"Windsor, Ontario",65 years and over,2016,4.9
"Windsor, Ontario",65 years and over,2017,5.1
"Windsor, Ontario",65 years and over,2018,5.7
"Windsor, Ontario",65 years and over,2019,8.7
"Barrie, Ontario",15 years and over,2015,113.6
"Barrie, Ontario",15 years and over,2016,110.4
"Barrie, Ontario",15 years and over,2017,119.6
"Barrie, Ontario",15 years and over,2018,120.3
"Barrie, Ontario",15 years and over,2019,124.3
"Barrie, Ontario",15 to 24 years,2015,20.8
"Barrie, Ontario",15 to 24 years,2016,17.6
"Barrie, Ontario",15 to 24 years,2017,21.4
"Barrie, Ontario",15 to 24 years,2018,18.8
"Barrie, Ontario",15 to 24 years,2019,23
"Barrie, Ontario",25 years and over,2015,92.8
"Barrie, Ontario",25 years and over,2016,92.8
"Barrie, Ontario",25 years and over,2017,98.2
"Barrie, Ontario",25 years and over,2018,101.4
"Barrie, Ontario",25 years and over,2019,101.3
"Barrie, Ontario",25 to 44 years,2015,47.2
"Barrie, Ontario",25 to 44 years,2016,48.3
"Barrie, Ontario",25 to 44 years,2017,49.3
"Barrie, Ontario",25 to 44 years,2018,50.5
"Barrie, Ontario",25 to 44 years,2019,54
"Barrie, Ontario",45 years and over,2015,45.6
"Barrie, Ontario",45 years and over,2016,44.5
"Barrie, Ontario",45 years and over,2017,48.9
"Barrie, Ontario",45 years and over,2018,50.9
"Barrie, Ontario",45 years and over,2019,47.3
"Barrie, Ontario",25 to 54 years,2015,73.9
"Barrie, Ontario",25 to 54 years,2016,73
"Barrie, Ontario",25 to 54 years,2017,75.8
"Barrie, Ontario",25 to 54 years,2018,78.7
"Barrie, Ontario",25 to 54 years,2019,81.6
"Barrie, Ontario",55 years and over,2015,18.9
"Barrie, Ontario",55 years and over,2016,19.8
"Barrie, Ontario",55 years and over,2017,22.4
"Barrie, Ontario",55 years and over,2018,22.7
"Barrie, Ontario",55 years and over,2019,19.7
"Barrie, Ontario",55 to 64 years,2015,14.7
"Barrie, Ontario",55 to 64 years,2016,16.6
"Barrie, Ontario",55 to 64 years,2017,17.5
"Barrie, Ontario",55 to 64 years,2018,18.6
"Barrie, Ontario",55 to 64 years,2019,16.7
"Barrie, Ontario",65 years and over,2015,4.2
"Barrie, Ontario",65 years and over,2016,3.2
"Barrie, Ontario",65 years and over,2017,4.9
"Barrie, Ontario",65 years and over,2018,4.1
"Barrie, Ontario",65 years and over,2019,3.1
"Greater Sudbury, Ontario",15 years and over,2015,88.8
"Greater Sudbury, Ontario",15 years and over,2016,90
"Greater Sudbury, Ontario",15 years and over,2017,87.7
"Greater Sudbury, Ontario",15 years and over,2018,88.8
"Greater Sudbury, Ontario",15 years and over,2019,92
"Greater Sudbury, Ontario",15 to 24 years,2015,16.9
"Greater Sudbury, Ontario",15 to 24 years,2016,15.7
"Greater Sudbury, Ontario",15 to 24 years,2017,15.2
"Greater Sudbury, Ontario",15 to 24 years,2018,14.2
"Greater Sudbury, Ontario",15 to 24 years,2019,14.6
"Greater Sudbury, Ontario",25 years and over,2015,71.9
"Greater Sudbury, Ontario",25 years and over,2016,74.3
"Greater Sudbury, Ontario",25 years and over,2017,72.5
"Greater Sudbury, Ontario",25 years and over,2018,74.6
"Greater Sudbury, Ontario",25 years and over,2019,77.4
"Greater Sudbury, Ontario",25 to 44 years,2015,35.6
"Greater Sudbury, Ontario",25 to 44 years,2016,39.1
"Greater Sudbury, Ontario",25 to 44 years,2017,37.3
"Greater Sudbury, Ontario",25 to 44 years,2018,38.2
"Greater Sudbury, Ontario",25 to 44 years,2019,40.7
"Greater Sudbury, Ontario",45 years and over,2015,36.3
"Greater Sudbury, Ontario",45 years and over,2016,35.2
"Greater Sudbury, Ontario",45 years and over,2017,35.2
"Greater Sudbury, Ontario",45 years and over,2018,36.4
"Greater Sudbury, Ontario",45 years and over,2019,36.7
"Greater Sudbury, Ontario",25 to 54 years,2015,56.4
"Greater Sudbury, Ontario",25 to 54 years,2016,60.1
"Greater Sudbury, Ontario",25 to 54 years,2017,57.6
"Greater Sudbury, Ontario",25 to 54 years,2018,55.3
"Greater Sudbury, Ontario",25 to 54 years,2019,58.7
"Greater Sudbury, Ontario",55 years and over,2015,15.5
"Greater Sudbury, Ontario",55 years and over,2016,14.2
"Greater Sudbury, Ontario",55 years and over,2017,14.9
"Greater Sudbury, Ontario",55 years and over,2018,19.4
"Greater Sudbury, Ontario",55 years and over,2019,18.7
"Greater Sudbury, Ontario",55 to 64 years,2015,13.1
"Greater Sudbury, Ontario",55 to 64 years,2016,12.2
"Greater Sudbury, Ontario",55 to 64 years,2017,12.4
"Greater Sudbury, Ontario",55 to 64 years,2018,16
"Greater Sudbury, Ontario",55 to 64 years,2019,15.5
"Greater Sudbury, Ontario",65 years and over,2015,2.4
"Greater Sudbury, Ontario",65 years and over,2016,1.9
"Greater Sudbury, Ontario",65 years and over,2017,2.5
"Greater Sudbury, Ontario",65 years and over,2018,3.3
"Greater Sudbury, Ontario",65 years and over,2019,3.1
"Thunder Bay, Ontario",15 years and over,2015,62.6
"Thunder Bay, Ontario",15 years and over,2016,64.4
"Thunder Bay, Ontario",15 years and over,2017,65.2
"Thunder Bay, Ontario",15 years and over,2018,67.8
"Thunder Bay, Ontario",15 years and over,2019,66.5
"Thunder Bay, Ontario",15 to 24 years,2015,10.6
"Thunder Bay, Ontario",15 to 24 years,2016,10.3
"Thunder Bay, Ontario",15 to 24 years,2017,10.7
"Thunder Bay, Ontario",15 to 24 years,2018,12
"Thunder Bay, Ontario",15 to 24 years,2019,11.5
"Thunder Bay, Ontario",25 years and over,2015,52
"Thunder Bay, Ontario",25 years and over,2016,54.1
"Thunder Bay, Ontario",25 years and over,2017,54.6
"Thunder Bay, Ontario",25 years and over,2018,55.7
"Thunder Bay, Ontario",25 years and over,2019,54.9
"Thunder Bay, Ontario",25 to 44 years,2015,25
"Thunder Bay, Ontario",25 to 44 years,2016,24.6
"Thunder Bay, Ontario",25 to 44 years,2017,26.6
"Thunder Bay, Ontario",25 to 44 years,2018,27.5
"Thunder Bay, Ontario",25 to 44 years,2019,28.8
"Thunder Bay, Ontario",45 years and over,2015,27
"Thunder Bay, Ontario",45 years and over,2016,29.5
"Thunder Bay, Ontario",45 years and over,2017,28
"Thunder Bay, Ontario",45 years and over,2018,28.2
"Thunder Bay, Ontario",45 years and over,2019,26.1
"Thunder Bay, Ontario",25 to 54 years,2015,39
"Thunder Bay, Ontario",25 to 54 years,2016,40.1
"Thunder Bay, Ontario",25 to 54 years,2017,40.6
"Thunder Bay, Ontario",25 to 54 years,2018,41.2
"Thunder Bay, Ontario",25 to 54 years,2019,42.4
"Thunder Bay, Ontario",55 years and over,2015,12.9
"Thunder Bay, Ontario",55 years and over,2016,13.9
"Thunder Bay, Ontario",55 years and over,2017,14
"Thunder Bay, Ontario",55 years and over,2018,14.6
"Thunder Bay, Ontario",55 years and over,2019,12.5
"Thunder Bay, Ontario",55 to 64 years,2015,10.4
"Thunder Bay, Ontario",55 to 64 years,2016,11.5
"Thunder Bay, Ontario",55 to 64 years,2017,11
"Thunder Bay, Ontario",55 to 64 years,2018,11.7
"Thunder Bay, Ontario",55 to 64 years,2019,9.9
"Thunder Bay, Ontario",65 years and over,2015,2.5
"Thunder Bay, Ontario",65 years and over,2016,2.4
"Thunder Bay, Ontario",65 years and over,2017,3
"Thunder Bay, Ontario",65 years and over,2018,2.9
"Thunder Bay, Ontario",65 years and over,2019,2.6
