"","Industry","Year","AgeRange","Gender","ALTClaims","NLTClaims","FatClaims"
"539","Chemicals/Process","2017","40-44","Female",28,72,0
"540","Chemicals/Process","2017","40-44","Male",65,196,0
"541","Chemicals/Process","2017","45-49","Female",30,93,0
"542","Chemicals/Process","2017","45-49","Male",60,215,0
"543","Chemicals/Process","2017","50-54","Female",43,103,0
"544","Chemicals/Process","2017","50-54","Male",80,245,0
"545","Chemicals/Process","2017","55-59","Female",41,81,0
"546","Chemicals/Process","2017","55-59","Male",65,224,0
"547","Chemicals/Process","2017","60-64","Female",19,45,0
"548","Chemicals/Process","2017","60-64","Male",56,135,0
"549","Chemicals/Process","2017","65+","Female",2,20,0
"550","Chemicals/Process","2017","65+","Male",8,96,1
"551","Chemicals/Process","2018","15-19","Female",5,11,0
"552","Chemicals/Process","2018","15-19","Male",12,46,0
"553","Chemicals/Process","2018","20-24","Female",5,73,0
"554","Chemicals/Process","2018","20-24","Male",47,150,0
"555","Chemicals/Process","2018","25-29","Female",36,70,0
"556","Chemicals/Process","2018","25-29","Male",68,194,0
"557","Chemicals/Process","2018","30-34","Female",21,45,0
"558","Chemicals/Process","2018","30-34","Male",65,180,0
"559","Chemicals/Process","2018","35-39","Female",25,64,0
"560","Chemicals/Process","2018","35-39","Male",60,173,0
"561","Chemicals/Process","2018","40-44","Female",18,90,0
"562","Chemicals/Process","2018","40-44","Male",49,178,0
"563","Chemicals/Process","2018","45-49","Female",32,108,0
"564","Chemicals/Process","2018","45-49","Male",81,218,0
"565","Chemicals/Process","2018","50-54","Female",36,114,0
"566","Chemicals/Process","2018","50-54","Male",67,231,0
"567","Chemicals/Process","2018","55-59","Female",43,91,0
"568","Chemicals/Process","2018","55-59","Male",86,217,0
"569","Chemicals/Process","2018","60-64","Female",28,57,0
"570","Chemicals/Process","2018","60-64","Male",57,149,0
"571","Chemicals/Process","2018","65+","Female",3,17,0
"572","Chemicals/Process","2018","65+","Male",11,86,0
"573","Chemicals/Process","2019","15-19","Female",1,8,0
"574","Chemicals/Process","2019","15-19","Male",13,31,0
"575","Chemicals/Process","2019","20-24","Female",17,52,0
"576","Chemicals/Process","2019","20-24","Male",52,151,0
"577","Chemicals/Process","2019","25-29","Female",23,77,0
"578","Chemicals/Process","2019","25-29","Male",59,195,0
"579","Chemicals/Process","2019","30-34","Female",23,59,0
"580","Chemicals/Process","2019","30-34","Male",62,182,0
"581","Chemicals/Process","2019","35-39","Female",22,76,0
"582","Chemicals/Process","2019","35-39","Male",70,166,0
"583","Chemicals/Process","2019","40-44","Female",24,97,0
"584","Chemicals/Process","2019","40-44","Male",60,178,0
"585","Chemicals/Process","2019","45-49","Female",39,91,0
"586","Chemicals/Process","2019","45-49","Male",76,170,0
"587","Chemicals/Process","2019","50-54","Female",37,95,0
"588","Chemicals/Process","2019","50-54","Male",73,228,0
"589","Chemicals/Process","2019","55-59","Female",46,102,0
"590","Chemicals/Process","2019","55-59","Male",74,225,0
"591","Chemicals/Process","2019","60-64","Female",24,46,0
"592","Chemicals/Process","2019","60-64","Male",42,157,0
"593","Chemicals/Process","2019","65+","Female",3,21,0
"594","Chemicals/Process","2019","65+","Male",25,98,1
"595","Construction","2011","15-19","Female",2,7,0
"596","Construction","2011","15-19","Male",115,454,1
"597","Construction","2011","20-24","Female",8,41,0
"598","Construction","2011","20-24","Male",530,1929,4
"599","Construction","2011","25-29","Female",12,55,0
"600","Construction","2011","25-29","Male",615,2200,1
"601","Construction","2011","30-34","Female",7,38,0
"602","Construction","2011","30-34","Male",547,1830,1
"603","Construction","2011","35-39","Female",17,36,0
"604","Construction","2011","35-39","Male",454,1400,1
"605","Construction","2011","40-44","Female",14,23,0
"606","Construction","2011","40-44","Male",460,1334,2
"607","Construction","2011","45-49","Female",10,35,0
"608","Construction","2011","45-49","Male",523,1407,2
"609","Construction","2011","50-54","Female",3,25,0
"610","Construction","2011","50-54","Male",434,1121,2
"611","Construction","2011","55-59","Female",4,12,0
"612","Construction","2011","55-59","Male",232,753,0
"613","Construction","2011","60-64","Female",3,6,0
"614","Construction","2011","60-64","Male",154,389,0
"615","Construction","2011","65+","Female",1,1,0
"616","Construction","2011","65+","Male",45,301,3
"617","Construction","2012","15-19","Female",2,17,0
"618","Construction","2012","15-19","Male",127,451,0
"619","Construction","2012","20-24","Female",17,54,0
"620","Construction","2012","20-24","Male",515,2011,0
"621","Construction","2012","25-29","Female",15,39,0
"622","Construction","2012","25-29","Male",619,2246,5
"623","Construction","2012","30-34","Female",11,31,0
"624","Construction","2012","30-34","Male",552,1923,2
"625","Construction","2012","35-39","Female",8,26,0
"626","Construction","2012","35-39","Male",455,1484,0
"627","Construction","2012","40-44","Female",16,32,0
"628","Construction","2012","40-44","Male",454,1359,2
"629","Construction","2012","45-49","Female",9,34,0
"630","Construction","2012","45-49","Male",478,1419,1
"631","Construction","2012","50-54","Female",5,27,0
"632","Construction","2012","50-54","Male",435,1133,1
"633","Construction","2012","55-59","Female",6,21,0
"634","Construction","2012","55-59","Male",272,751,2
"635","Construction","2012","60-64","Female",8,11,0
"636","Construction","2012","60-64","Male",163,414,0
"637","Construction","2012","65+","Female",1,3,0
"638","Construction","2012","65+","Male",39,295,1
"639","Construction","2013","15-19","Female",10,9,0
"640","Construction","2013","15-19","Male",133,493,0
"641","Construction","2013","20-24","Female",22,53,0
"642","Construction","2013","20-24","Male",524,2193,2
"643","Construction","2013","25-29","Female",11,57,0
"644","Construction","2013","25-29","Male",620,2415,5
"645","Construction","2013","30-34","Female",17,48,0
"646","Construction","2013","30-34","Male",626,2022,1
"647","Construction","2013","35-39","Female",14,39,0
"648","Construction","2013","35-39","Male",469,1593,3
"649","Construction","2013","40-44","Female",11,20,0
"650","Construction","2013","40-44","Male",442,1341,4
"651","Construction","2013","45-49","Female",15,42,0
"652","Construction","2013","45-49","Male",491,1446,2
"653","Construction","2013","50-54","Female",10,31,0
"654","Construction","2013","50-54","Male",438,1184,3
"655","Construction","2013","55-59","Female",9,15,0
"656","Construction","2013","55-59","Male",318,827,2
"657","Construction","2013","60-64","Female",4,11,0
"658","Construction","2013","60-64","Male",174,437,1
"659","Construction","2013","65+","Female",2,8,0
"660","Construction","2013","65+","Male",62,309,0
"661","Construction","2014","15-19","Female",5,11,0
"662","Construction","2014","15-19","Male",135,462,1
"663","Construction","2014","20-24","Female",17,73,0
"664","Construction","2014","20-24","Male",521,2119,2
"665","Construction","2014","25-29","Female",15,58,0
"666","Construction","2014","25-29","Male",601,2350,1
"667","Construction","2014","30-34","Female",13,35,0
"668","Construction","2014","30-34","Male",553,2096,2
"669","Construction","2014","35-39","Female",18,35,0
"670","Construction","2014","35-39","Male",474,1603,3
"671","Construction","2014","40-44","Female",15,40,0
"672","Construction","2014","40-44","Male",420,1332,3
"673","Construction","2014","45-49","Female",14,40,0
"674","Construction","2014","45-49","Male",471,1336,1
"675","Construction","2014","50-54","Female",19,39,0
"676","Construction","2014","50-54","Male",488,1204,4
"677","Construction","2014","55-59","Female",7,19,0
"678","Construction","2014","55-59","Male",310,862,3
"679","Construction","2014","60-64","Female",6,7,0
"680","Construction","2014","60-64","Male",166,447,0
"681","Construction","2014","65+","Female",3,5,0
"682","Construction","2014","65+","Male",59,326,2
"683","Construction","2015","15-19","Female",5,24,0
"684","Construction","2015","15-19","Male",110,445,0
"685","Construction","2015","20-24","Female",21,56,0
"686","Construction","2015","20-24","Male",543,1909,1
